"","X","display","randomise_blocks","randomise_trials","ANSWER","animation","responseQuestion","Dilemma","DilemmaByContext","Prohibited.act","PDE","PDE.SE_notME","PDE.GE.BE","PDE.noBA","MG.Permissible","TVideo_1","Agent","Context","PBH"
"1",1,"experimentInstructions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Trial",NA,1,NA,"Bystander_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","bystander","bystander","Yes","Yes","Yes","Yes","Yes","Yes","Bystander_Trolley_newtimings.mp4","Human","trolley","Yes"
"3",3,"Trial",NA,1,NA,"Footbridge_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","footbridge","footbridge","Yes","No","No","Yes","Yes","No","Footbridge_Trolley_newtimings.mp4","Human","trolley","Yes"
"4",4,"Trial",NA,1,NA,"ExpensiveEquipment_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","expensive equipment","expensive equipment","Yes","No","Yes","No","No","No","ExpensiveEquipment_Trolley_newtimings.mp4","Human","trolley","Yes"
"5",5,"Trial",NA,1,NA,"ImpliedConsent_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","implied consent","implied consent","Yes","Yes","Yes","Yes","Yes","Yes","ImpliedConsent_Trolley_newtimings.mp4","Human","trolley","Yes"
"6",6,"Trial",NA,1,NA,"IntentionalHomicide_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","intentional homicide","intentional homicide","Yes","No","No","Yes","Yes","No","IntentionalHomicide_Trolley_newtimings.mp4","Human","trolley","Yes"
"7",7,"Trial",NA,1,NA,"LoopTrack_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","loop","loop","Yes","No","No","Yes","Yes","No","LoopTrack_Trolley_newtimings.mp4","Human","trolley","Yes"
"8",8,"Trial",NA,1,NA,"ManInFront_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","man-in-front","man-in-front","Yes","Yes","Yes","Yes","Yes","Yes","ManInFront_Trolley_newtimings.mp4","Human","trolley","Yes"
"9",9,"Trial",NA,1,NA,"CostlessRescue_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","costless rescue","costless rescue","No","Yes","Yes","Yes","Yes","Yes","CostlessRescue_Trolley_newtimings.mp4","Human","trolley","No"
"10",10,"Trial",NA,1,NA,"BetterAlternative_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","better alternative","better alternative","Yes","No","Yes","Yes","No","No","BetterAlternative_Trolley_newtimings.mp4","Human","trolley","Yes"
"11",11,"Trial",NA,1,NA,"DisproportionalDeath_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","disproportionate death","disproportionate death","Yes","No","Yes","No","No","No","DisproportionalDeath_Trolley_newtimings.mp4","Human","trolley","Yes"
